eltAlias	Alias
eltAnd		And
eltAny		Any
eltAppend	Append
eltAs		As
eltBegin	Begin
eltCall		Call
eltCase		Case
eltCdecl	Cdecl
eltCheckBox	CheckBox
eltClose	Close
eltComboBox	ComboBox
eltDeclare	Declare
eltDialog	Dialog
eltDim		Dim
eltDouble	Double
eltElse		Else
eltElseif	ElseIf
eltEnd		End
eltError	Error
eltFor		For
eltFunction	Function
eltGetCurVals	GetCurValues
eltGoto		Goto
eltIf		If
eltInput	Input
eltInteger	Integer
eltIs		Is
eltLet		Let
eltLib		Lib
eltLine		Line
eltListBox	ListBox
eltLong		Long
eltMod		Mod
eltName		Name
eltNext		Next
eltNot		Not
eltOn		On
eltOpen		Open
eltOptGroup	OptionGroup
eltOr		Or
eltOutput	Output
eltPrint	Print
eltRedim	Redim
eltRem		Rem
eltRead		Read
eltResume	Resume
eltSelect	Select
eltShared	Shared
eltSingle	Single
eltStep		Step
eltStop		Stop
eltStringT	String
eltSub		Sub
eltSuper	Super
eltTextBox	TextBox
eltThen		Then
eltTo		To
eltSpell	UtilGetSpelling
eltThes		UtilGetSynonyms
eltWend		Wend
eltWhile	While
eltWrite	Write
eltMinus	-
eltLParen	(
eltRParen	)
eltAdd		+
eltSubtract	-
eltDiv		/
eltMul		*
eltEq		=
eltNe		<>
eltLt		<
eltGt		>
eltLe		<=
eltGe		>=
eltComma	,
eltColon	:
eltSemi		;
